Category,Rule ID,Rule Description,WCAG/Standard,Severity,How To Check,How To Fix
HTML Structure,html-lang,<html> tag must have a valid lang attribute,HTML5,Critical,"Check app/layout.tsx for <html lang=...>","Add lang=""vi"" or lang=""en"" to <html> tag in root layout.tsx"
HTML Structure,single-h1,Each page must have exactly ONE <h1> tag,SEO Best Practice,Critical,Lighthouse → SEO → Document has a title,Remove extra <h1>s — use <h2>–<h6> for sub-headings
HTML Structure,title-tag,"Metadata title must exist and be 50–60 chars — use Next.js Metadata API",SEO Best Practice,Critical,Lighthouse → SEO → Document has a title,"export const metadata: Metadata = { title: '...' } in page.tsx"
HTML Structure,meta-description,"<meta name=description> must be 120–160 chars — use Next.js Metadata API",SEO Best Practice,Critical,Lighthouse → SEO → Meta description,"export const metadata: Metadata = { description: '...' } in page.tsx"
HTML Structure,img-alt,All next/image and <img> tags must have descriptive alt attribute,WCAG 1.1.1 / SEO,Critical,"grep -rn '<Image\|<img' app/ --include='*.tsx' | grep -v 'alt='",Add descriptive alt text; use alt="" only for decorative images
HTML Structure,canonical,"Every page must have canonical — use Next.js alternates.canonical in Metadata",SEO Best Practice,High,Lighthouse → SEO → Links are not crawlable,"export const metadata: Metadata = { alternates: { canonical: 'https://...' } }"
HTML Structure,charset,<meta charset=UTF-8> is auto-added by Next.js — verify it is not removed,HTML5,High,View page source and confirm charset meta exists,Do not override Next.js default charset meta
Meta & OG Tags,og-title,og:title must be present via Next.js openGraph Metadata,Open Graph Protocol,High,"grep -rn 'openGraph' app/ --include='*.tsx'","export const metadata: Metadata = { openGraph: { title: '...' } }"
Meta & OG Tags,og-description,og:description must be present via Next.js openGraph Metadata,Open Graph Protocol,High,"grep -rn 'openGraph' app/ --include='*.tsx'","metadata.openGraph.description = '...'"
Meta & OG Tags,og-image,"og:image must be present and ≥ 1200×630px — use Next.js OG image or static asset",Open Graph Protocol,High,"grep -rn 'openGraph.*image' app/ --include='*.tsx'","metadata.openGraph.images = [{ url: '...', width: 1200, height: 630 }] or use app/opengraph-image.tsx"
Meta & OG Tags,og-url,og:url must match canonical URL,Open Graph Protocol,Medium,"grep -rn 'openGraph.*url' app/ --include='*.tsx'","metadata.openGraph.url = 'https://...'"
Performance,lcp,Largest Contentful Paint ≤ 2.5s,Core Web Vitals / Google,Critical,Lighthouse → Performance → LCP,"Preload hero image with priority prop on <Image>; use static generation (SSG/ISR); reduce TTFB"
Performance,cls,Cumulative Layout Shift ≤ 0.1,Core Web Vitals / Google,Critical,Lighthouse → Performance → CLS,"Set explicit width/height on next/image; avoid dynamic content injection above fold"
Performance,fid-inp,INP (Interaction to Next Paint) ≤ 200ms,Core Web Vitals / Google,High,Lighthouse → Performance → INP,Defer non-critical JS; use Suspense boundaries; break long tasks with startTransition
Performance,lazy-load,Images below the fold must NOT have priority prop (lazy by default in next/image),HTML5 / SEO,High,Check for priority on non-hero images,Remove priority prop from non-hero images — next/image is lazy by default
Performance,minify-css,CSS/JS must be minified in production — Next.js handles this automatically,SEO Best Practice,Medium,next build output size,Run next build — check bundle analyzer; use dynamic imports for large libraries
Performance,cache-control,"Static assets must have Cache-Control max-age ≥ 1 year — configure in next.config.js headers()",HTTP/SEO,Medium,Lighthouse → Performance → Uses efficient cache policy,"Add Cache-Control: public, max-age=31536000, immutable in next.config.js headers() for /_next/static/"
Color Contrast,contrast-normal,Text < 18pt must have contrast ratio ≥ 4.5:1 vs background,WCAG 2.1 AA 1.4.3,High,npx axe --tags wcag2aa OR Lighthouse → Accessibility → Color Contrast,Darken text color or lighten background to meet ratio
Color Contrast,contrast-large,Text ≥ 18pt or 14pt Bold must have contrast ratio ≥ 3:1,WCAG 2.1 AA 1.4.3,High,npx axe --tags wcag2aa,"Adjust font color variables (e.g., --color-heading)"
Color Contrast,contrast-ui,"UI components (borders/icons) must have contrast ratio ≥ 3:1",WCAG 2.1 AA 1.4.11,Medium,npx axe --tags wcag2aa,Update border/icon colors in Tailwind config or CSS variables
Technical SEO,sitemap,"sitemap.xml must exist — generate via app/sitemap.ts in Next.js App Router",SEO Best Practice,Critical,"curl -I <URL>/sitemap.xml","Create app/sitemap.ts exporting MetadataRoute.Sitemap and submit to Google Search Console"
Technical SEO,robots-txt,"robots.txt must exist — generate via app/robots.ts in Next.js App Router",SEO Best Practice,Critical,"curl <URL>/robots.txt","Create app/robots.ts exporting MetadataRoute.Robots; ensure Disallow: / is NOT set for public pages"
Technical SEO,structured-data,"Key pages must have JSON-LD structured data (Article/BreadcrumbList/etc.)",Schema.org / Google Rich Results,High,Lighthouse → SEO → Structured data OR search.google.com/rich-results,"Add <script type=""application/ld+json""> with valid Schema.org markup in page.tsx or layout.tsx"
Technical SEO,no-broken-links,No internal links should return 4xx/5xx,SEO Best Practice,High,npx linkinator <URL> --recurse,Fix or redirect broken URLs in next.config.js redirects()
Technical SEO,https,Site must serve all pages over HTTPS,Security / SEO,Critical,"curl -I http://<domain> → check 301 redirect",Configure HTTPS at hosting level (Vercel auto-handles) + add HSTS header
Technical SEO,mobile-friendly,"Page must be mobile-friendly — Next.js auto-adds viewport meta in App Router",Google Mobile-first Indexing,Critical,Lighthouse → SEO → Tap targets sized appropriately,"Verify viewport meta in layout.tsx — use responsive Tailwind classes; test mobile breakpoints"
Next.js Metadata API,static-metadata,"Use export const metadata: Metadata for static pages",Next.js App Router,Critical,Check page.tsx files,"import type { Metadata } from 'next'; export const metadata: Metadata = { title: '...', description: '...' }"
Next.js Metadata API,dynamic-metadata,"Use export async function generateMetadata() for dynamic pages",Next.js App Router,Critical,Check dynamic [slug]/page.tsx files,"export async function generateMetadata({ params }: Props): Promise<Metadata> { ... }"
Render Blocking,defer-js,Third-party scripts must use next/script with strategy="lazyOnload" or "afterInteractive",PageSpeed / LCP,Critical,"grep -rn '<script src' app/ --include='*.tsx' | grep -v 'next/script'","Use <Script src='...' strategy='lazyOnload' /> — never raw <script> in JSX"
Render Blocking,font-display-swap,Fonts must use display=swap to prevent invisible text — next/font handles this automatically,PageSpeed / FCP,High,Check for legacy @import Google Fonts in CSS,"Replace @import Google Fonts with next/font/google: import { Inter } from 'next/font/google'"
Image Delivery,nextimage-format,Use next/image for all content images — enables automatic WebP/AVIF conversion,PageSpeed / Core Web Vitals,Critical,"grep -rn '<img ' app/ --include='*.tsx' | grep -v 'placeholder'","Replace <img> with <Image> from 'next/image'"
Image Delivery,img-dimensions,next/image requires explicit width and height to prevent CLS,Core Web Vitals CLS,Critical,"grep -rn '<Image' app/ --include='*.tsx' | grep -v 'fill'","Add width={W} height={H} matching natural image ratio to every <Image> (or use fill with relative parent)"
Image Delivery,img-priority-hero,Hero/LCP image must have priority prop on next/image,PageSpeed / LCP,High,Check first above-fold Image component,"Add priority prop to hero image: <Image src={...} priority />"
Image Delivery,img-srcset,next/image automatically generates srcset — ensure remotePatterns is configured for external images,PageSpeed,High,Check next.config.js for images.remotePatterns,"Add allowed domains to next.config.js: images: { remotePatterns: [{ hostname: 'cdn.example.com' }] }"
